ensemblID,ctrl_0000,low_0045,low_0090,low_0180,low_0360,low_0720,low_1440,high_0045,high_0090,high_0180,high_0360,high_0720,high_1440,geneID
ENSG00000133858,1,0.988383334,1.075615733,1.542171237,1.563575188,1.673161219,1.671850777,0.913736518,1.045372761,1.609748236,1.840630795,2.156361747,2.073452152,ZFC3H1
ENSG00000144120,1,0.954101497,0.987884888,0.780748956,0.88437338,0.860516981,0.863147982,0.925635523,0.987089862,0.829075132,0.787960357,0.622466181,0.591801166,TMEM177
ENSG00000196312,1,1.312065647,1.499176723,1.766894916,1.595320281,1.335629658,1.192849708,1.160916997,1.608423113,1.751747695,1.818401524,1.820525449,1.610017854,MFSD14C
ENSG00000151466,1,1.068694051,0.852043979,0.786283083,0.963954878,1.137655512,0.644704908,1.060547497,0.933296489,0.791524439,1.014649627,1.125612065,0.603026317,SCLT1
ENSG00000164062,1,0.875601437,0.917065506,0.9207905,0.79086383,0.743549317,0.789116153,0.878704994,0.853318346,0.870931151,0.679185765,0.596809536,0.548885793,APEH
ENSG00000128944,1,0.975393242,1.08306567,1.018724115,1.132315261,0.978935534,0.554499481,1.036622838,1.035998912,1.052447104,1.020282767,0.827545808,0.409981494,KNSTRN
ENSG00000123473,1,0.99034244,0.90393195,1.005406867,0.964290638,0.783855207,0.526295278,0.948427825,0.942199224,1.140492208,0.979095473,0.840587447,0.498009809,STIL
ENSG00000134138,1,1.11856617,0.770961079,0.669959094,0.800826462,0.730469116,0.834191201,0.947924855,0.899913543,0.718209976,0.739261813,0.668087274,0.444575219,MEIS2
ENSG00000161011,1,1.050611332,1.171692487,0.963798685,0.843770816,1.186162956,1.853863541,1.010370372,1.033943406,0.811307876,0.722447019,0.999569011,2.126869368,SQSTM1
ENSG00000181163,1,0.992950165,0.961118888,0.823374256,0.795923098,0.737381839,0.678127126,1.011040004,1.002007018,0.911067676,0.717853327,0.58250791,0.435068092,NPM1
ENSG00000134775,1,0.941995399,1.000465415,0.996536985,1.396577694,1.107710001,0.833556779,0.922963308,1.006274727,1.137971914,1.615411335,2.122944899,2.27727002,FHOD3
ENSG00000126458,1,0.872565933,0.886266993,1.362751052,1.600823477,1.485618678,1.606752718,0.880330806,0.965863906,1.055958122,1.381089282,2.074845169,3.212871725,RRAS
ENSG00000167005,1,1.024105708,0.940476768,0.838316767,0.925674202,1.002255871,0.90426691,0.988414725,1.049332553,1.034419893,0.920033012,0.826929682,0.665902632,NUDT21
ENSG00000160877,1,0.926823296,1.034590303,1.073675271,0.793885251,0.682514169,0.887924697,0.967057863,0.918402463,0.867583248,0.725947798,0.551219714,0.740183849,NACC1
ENSG00000133805,1,1.040749665,1.231802338,0.944922011,1.558345487,2.358506019,1.51204822,1.01731566,1.119235065,0.793162008,1.619701407,2.290848328,1.400465516,AMPD3
ENSG00000228716,1,0.90639631,0.973626054,0.812506294,0.918127575,0.741758677,0.564042171,1.068691831,0.966691506,1.005539175,0.902593508,0.533520697,0.316297647,DHFR
ENSG00000114019,1,0.877427491,1.006420265,1.144899966,1.082725938,0.866477101,0.653231167,0.881124454,1.088892937,0.944340082,0.95193457,0.76260091,0.793523226,AMOTL2
ENSG00000166145,1,1.011149124,1.20169919,1.425374438,1.150850614,1.068709972,1.183282304,1.013300419,1.162647276,1.298834896,1.228843725,1.371626533,1.829094733,SPINT1
ENSG00000063244,1,0.94250623,0.996482047,0.994154323,0.863667523,0.705228566,0.774040248,0.917790834,0.865069239,0.81715484,0.761081968,0.593329844,0.733472744,U2AF2
ENSG00000167553,1,0.992257826,0.995595325,0.882515076,0.789378473,0.618463021,0.478131369,1.030666763,1.041487852,0.96585036,0.706063104,0.533012019,0.439866115,TUBA1C
ENSG00000177150,1,1.036483488,0.934590834,0.788899165,0.784622861,0.777831567,0.77876351,1.034041165,1.002414125,0.837995643,0.733270861,0.6244567,0.58250221,FAM210A
ENSG00000124532,1,0.944249756,0.883485319,0.911558392,0.926209933,0.832566704,0.951572419,0.984208227,1.036431645,0.951662665,0.816272611,0.579702338,0.583379899,MRS2
ENSG00000072736,1,0.94640252,0.786134203,0.804322171,0.77175571,0.691770067,0.785283148,1.008330909,0.877148038,0.886157758,0.710248597,0.630253625,0.640659059,NFATC3
ENSG00000146223,1,0.93519124,0.907288086,0.801862926,0.827361358,0.874531198,0.843041162,0.944023246,0.965299437,0.870263475,0.748944244,0.647082567,0.57151035,RPL7L1
ENSG00000196177,1,1.092932347,0.97678911,0.907285594,0.935818362,0.989322476,1.262483302,1.09225547,1.08129448,0.932771168,0.86051663,0.668701693,0.888294903,ACADSB
ENSG00000131408,1,0.881175288,0.963990144,0.970052988,0.828926722,0.907255174,1.176843891,1.042606174,0.851884396,0.701169446,0.676702946,0.855605014,1.132285292,NR1H2
ENSG00000148671,1,0.940531767,1.043239267,1.225006168,0.851774084,0.650788996,0.991367004,0.976779468,0.953517614,0.83743822,0.71862704,0.476734905,0.501769041,ADIRF
ENSG00000174951,1,0.915545121,1.134947,1.287956905,2.192854807,3.677150078,1.49126589,0.80517677,1.339816957,1.147119188,2.104669904,3.020834349,1.368641366,FUT1
ENSG00000148335,1,0.919047577,1.064430429,1.080195343,0.790591706,0.672268598,0.761544787,0.922179475,1.060708918,0.859262873,0.713210175,0.48010285,0.604812664,NTMT1
ENSG00000160193,1,0.905290948,0.980810559,1.116103442,1.081239452,0.830876598,0.983588545,0.934782503,0.935852477,0.946617061,0.765722969,0.660668737,0.690363044,WDR4
ENSG00000167173,1,0.784235305,1.029839647,0.627528829,0.499337003,0.528792332,0.869462773,0.839959693,1.037868708,0.483914809,0.379503462,0.480289215,0.58281501,C15orf39
ENSG00000120647,1,0.968046862,0.954833332,1.059065707,1.077506518,0.817541179,0.568106277,0.923356037,0.861800877,1.000998298,1.114549645,0.762628327,0.47267194,CCDC77
ENSG00000163155,1,0.792355121,0.928425951,1.707720682,1.650074066,1.745644037,1.334787613,0.758368577,0.834784736,1.619986902,1.552960287,1.409500857,1.342976981,LYSMD1
ENSG00000105185,1,1.043418009,1.057701587,1.012698649,0.962349308,0.821032143,0.894790865,1.031112599,1.052233865,0.965893396,0.878299881,0.701841627,0.652888152,PDCD5
ENSG00000134363,1,1.392704829,1.614703869,1.92869711,2.822235287,1.351289848,0.253276401,1.251685414,1.459863364,2.404604071,2.679397176,1.441107828,0.861985038,FST
ENSG00000105821,1,1.021466205,1.024852754,0.854429698,0.804098398,0.715697096,0.692312553,1.006823121,0.906744662,0.853094238,0.705876629,0.547809518,0.53360556,DNAJC2
ENSG00000167257,1,0.87677722,0.837741082,1.032501827,1.436673196,1.955385578,1.535701939,0.913213023,0.771403324,1.028766521,1.383394281,1.917900091,1.282391365,RNF214
ENSG00000143543,1,0.950398875,1.043577809,1.066031198,0.958588982,0.806503586,0.867705367,1.005551644,1.106785347,1.033497647,0.789842794,0.571487243,0.56457918,JTB
ENSG00000087263,1,0.897348621,0.975788864,0.877608972,0.909107918,0.882609477,0.763386584,0.944301528,1.02956488,0.960725919,0.829276829,0.703749456,0.568364504,OGFOD1
ENSG00000143753,1,1.038237855,1.055703956,1.078965058,0.853304899,0.65160598,0.716092318,0.975484868,1.017306305,1.046015747,0.909072869,0.694008575,0.715996314,DEGS1
ENSG00000135919,1,1.167865811,1.16427952,1.412636039,2.098237667,2.275381973,0.842991713,1.049313262,1.074535546,1.477975498,3.434504038,7.435382374,8.246314718,SERPINE2
ENSG00000184916,1,0.918129531,1.020311144,1.038207668,0.760966433,0.727286735,1.185849542,0.876510021,0.960567984,0.728375589,0.610388406,0.477342525,1.373933632,JAG2
ENSG00000144045,1,0.755487333,0.685602412,1.008376381,1.603600878,1.763016535,2.482130832,0.790427965,0.616361008,0.865319428,1.556189541,2.753850555,4.423934256,DQX1
ENSG00000136114,1,0.950675833,1.19174922,1.437784745,1.242808704,1.210693168,1.058882304,0.904577637,1.408325984,1.566601276,1.632487823,2.013664991,2.838970795,THSD1
ENSG00000204220,1,0.906458345,0.982973255,0.951942,0.925522173,0.7681176,0.793648267,0.922751531,1.028366008,0.945556324,0.832116925,0.596043374,0.576333089,PFDN6
ENSG00000085117,1,0.995632551,1.022090436,1.066192518,0.801203316,0.723828581,0.777453607,0.96138237,0.887808324,0.820955745,0.685059585,0.534641594,0.627018952,CD82
ENSG00000186814,1,0.800513615,0.838575086,1.044365899,1.379105274,2.085186393,2.006441613,0.772880079,0.685115363,0.967267514,1.365671157,2.755256738,2.393048963,ZSCAN30
ENSG00000082641,1,0.95662215,1.118367239,1.250754351,1.198079406,1.363342416,1.238266327,0.958207599,1.137086043,1.261888573,1.304324264,1.468901027,1.577615634,NFE2L1
ENSG00000169684,1,1.04438746,1.005273692,0.993272139,0.917593029,0.604517312,0.553234237,0.966997714,1.099497642,0.958388548,0.882613812,0.510897752,0.389820242,CHRNA5
ENSG00000166886,1,0.888150691,1.47638549,0.985930364,1.110600721,1.330177073,1.681676338,0.872049513,1.447458875,0.765004342,0.81213241,1.10253988,1.612724759,NAB2
ENSG00000239306,1,1.069066944,0.9810664,0.98585566,0.944278652,0.795491753,0.601140711,1.00316108,0.916813762,0.914611822,0.844241339,0.715748677,0.558072231,RBM14
ENSG00000179886,1,0.785076938,1.094853195,1.063558778,0.775926754,0.976844322,1.324546928,0.766348382,0.84102385,0.811794694,0.795568426,0.889791865,1.653192091,TIGD5
ENSG00000104427,1,1.081188461,0.917593883,0.89938179,1.232837688,1.379093439,1.168254107,0.996858878,0.990906746,0.972176091,1.443209244,1.85572804,1.913515674,ZC2HC1A
ENSG00000064933,1,0.928991499,0.797914798,0.760765494,0.875775218,0.924138239,0.892260673,0.845718115,0.814360881,0.75887278,0.82964896,0.726144031,0.565738686,PMS1
ENSG00000176148,1,1.005305529,1.029048976,1.301631287,1.710919282,1.50111873,1.286162128,0.964946724,1.298321093,1.766187578,1.887532744,2.408412897,2.592121141,TCP11L1
ENSG00000035499,1,1.030205699,0.956190128,0.838794284,1.084757807,0.912915466,0.508711159,0.99255982,0.980982966,1.00698961,1.060208137,0.937625166,0.328033169,DEPDC1B
ENSG00000181284,1,0.79462253,1.062767054,1.097622534,0.909014902,0.782330251,0.917955672,1.017053189,1.118801075,1.031377124,0.936784087,0.864075223,1.591300176,TMEM102
ENSG00000224877,1,1.0214145,1.032028266,1.225806751,1.13182681,0.814909512,0.817872437,1.009485887,1.016743053,1.134166424,0.974244634,0.633966464,0.563353906,C17orf89
ENSG00000117266,1,0.915303755,0.999095261,1.475744873,1.295709464,1.534250913,2.454859493,0.909312446,0.826149907,1.027404562,1.305138611,1.453911099,2.834193766,CDK18
ENSG00000154640,1,1.106703917,1.149779595,0.972776917,0.848063914,0.731240259,0.816859937,1.012456982,1.057496839,1.030818319,0.781707129,0.737184033,0.671593108,BTG3
