"","gene_name","ensemblID","ctrl_0000","low_0045","low_0090","low_0180","low_0360","low_0720","low_1440","high_0045","high_0090","high_0180","high_0360","high_0720","high_1440"
"11","CDC45","ENSG00000093009",0,-0.035904013,0.172643017,-0.026269094,-0.222133528,-0.919215674,-0.960345297,-0.027366439,-0.015462648,-0.102056391,-0.329723426,-1.132760859,-2.397222861
"12","CENPM","ENSG00000100162",0,0.056241085,0.189511547,0.15205578,-0.240990912,-1.081944347,-0.94186046,-0.079990825,-0.208862796,-0.366996041,-0.454299809,-1.445062975,-2.293001185
"13","CHAC2","ENSG00000143942",0,-0.002594815,-0.11484827,-0.20510933,-0.370731283,-0.43804841,-0.657142964,-0.002938595,0.134022363,-0.146432916,-0.472684313,-1.14081203,-2.117122276
"14","COL4A1","ENSG00000187498",0,0.08272011,0.054254798,0.725726168,0.831653755,0.258049412,-0.539119525,-0.098488523,-0.078049619,0.863512683,1.343259214,1.95770383,2.012657549
"15","CYB5A","ENSG00000166347",0,-0.268374317,-0.096322818,-0.259184994,-0.454236552,-0.820240158,-0.728942353,-0.156369226,-0.10780012,-0.242459494,-0.56682996,-1.647571157,-2.060770088
"16","CYTH1","ENSG00000108669",0,0.529573071,1.461476519,1.954762571,1.455349813,0.738097768,-0.120744941,0.882238897,1.674415405,1.914137449,2.351257997,2.592606841,2.582662725
"17","DDAH2","ENSG00000213722",0,-0.060648127,0.27358025,0.152768009,0.531628367,0.448620508,0.707611191,0.20390459,0.268571289,0.434997396,0.64114616,1.363059656,2.486714738
"18","DIXDC1","ENSG00000150764",0,-0.004929207,0.18830764,0.922266277,1.076812312,0.706746202,0.575041294,-0.141075722,0.751612615,1.518537545,1.998097113,2.667386124,2.992855395
"19","DNAJB5","ENSG00000137094",0,0.072645843,0.817121662,1.565316973,0.639964716,0.303914831,0.398274129,0.681003841,1.659308467,2.289271262,1.863814859,2.194086747,2.562978386
"20","EHF","ENSG00000135373",0,-0.476531339,-1.048362859,-0.957094309,-0.618387857,-0.265101951,0.192308494,-0.287066529,-0.667916731,-1.212306858,-1.685881369,-2.58708052,-2.18758025
"21","EPCAM","ENSG00000119888",0,-0.112753678,-0.045197172,-0.079946336,-0.350000055,-0.609496518,-0.959024534,-0.184662312,-0.110496015,0.017487001,-0.093298103,-0.960325877,-2.457444797
"22","EPGN","ENSG00000182585",0,-0.004022174,-0.451328517,-0.598421727,-0.356700579,-0.280155712,-0.64254945,-0.042108109,-0.321587801,-0.683005176,-0.931103325,-1.594279759,-2.189417588
"23","FAM214B","ENSG00000005238",0,-0.141858763,0.728564235,1.25938917,1.037003289,0.97264444,0.4633198,0.14278889,0.998308372,1.402428133,1.740009086,2.181472798,2.204734009
"24","FAP","ENSG00000078098",0,0.181182928,0.597966323,1.548216052,1.398007907,0.964577101,-0.194353802,0.177669004,0.780406491,1.688578688,2.253055717,2.987394684,3.433330589
"25","FN1","ENSG00000115414",0,0.309329235,0.365177877,1.477041977,1.994057365,1.850560704,0.728179009,0.125954349,0.497045853,2.752920021,3.596836676,4.757418945,6.169079611
"26","FZD2","ENSG00000180340",0,0.076088332,0.351127711,1.072096415,0.717729542,0.295361175,0.550451459,0.050563975,0.025499637,0.348787378,0.569071819,0.563752099,2.01201406
"27","GABARAPL1","ENSG00000139112",0,0.716528687,0.918495924,0.431546964,0.440075179,0.733797552,0.668749784,0.983360598,1.180611593,0.875206982,0.82351728,1.327164322,2.184562403
"28","GPAM","ENSG00000119927",0,0.002852644,-0.019818784,0.849636908,1.000612466,0.776325078,0.082082798,-0.115289425,0.165243809,1.104537062,1.800551061,2.595817626,3.078298365
"29","GRB10","ENSG00000106070",0,-0.036958813,0.062038156,0.849839669,1.234266968,1.370979474,0.546980381,-0.048377336,0.082098172,1.368115843,1.850262383,2.654203139,2.248107656
"30","HIP1","ENSG00000127946",0,0.096572552,0.078008096,0.419173504,0.59345587,0.373815426,0.61235703,0.145094778,0.107923413,0.733302151,0.939856033,1.382835491,2.054713277
"31","ITGB6","ENSG00000115221",0,0.179514625,0.408704901,2.203888217,2.147203502,1.083989915,0.076044537,0.115474743,0.84799507,2.842343556,3.288389551,3.953908185,4.516958926
"32","IVNS1ABP","ENSG00000116679",0,0.138431598,0.596657832,0.766899824,0.474280066,0.330151217,0.568739523,0.130187208,0.683813245,1.061013193,1.039021119,1.659482827,2.605539914
"33","JPH1","ENSG00000104369",0,-0.170755415,-0.26453205,-0.998205674,-0.593770768,-0.84126632,-0.468928153,-0.201378172,-0.342296071,-1.205535283,-1.124601994,-1.763732597,-2.154777337
"34","KCNK5","ENSG00000164626",0,-0.09029711,-0.18398035,-0.160396404,-0.050606464,-0.110080114,-0.314313849,-0.166433739,-0.552464158,-0.727443032,-0.522795063,-1.140335493,-2.070779886
"35","KHK","ENSG00000138030",0,-0.362751987,-0.29744659,-0.452204127,-0.780072768,-2.00536329,-0.745985142,-0.308201166,-0.364635226,-0.990557632,-1.39773001,-2.259514467,-2.251064164
"36","KIAA0101","ENSG00000166803",0,0.112059474,-0.166113177,-0.441754548,-0.530191167,-0.841865846,-0.958059309,0.091300236,0.096179563,-0.012083958,-0.268814709,-1.118739809,-2.088454114
"37","LAMA3","ENSG00000053747",0,0.055981373,0.310082627,0.867988496,1.056275727,1.392013313,0.184487395,-0.024467128,0.464408561,1.082330678,1.77368349,3.038887018,2.81115067
"38","LAMB3","ENSG00000196878",0,-0.001845394,0.821877525,1.497584964,1.431554076,1.409119189,-0.464743419,0.053779481,0.826422159,1.360536852,2.070428131,2.742203759,2.220913806
"39","LAMC2","ENSG00000058085",0,0.095819366,0.270325189,0.975079646,1.248413043,1.253642249,-0.019451988,-0.012972418,0.373675134,1.275745254,1.966652031,3.0314655,3.207893455
"40","LFNG","ENSG00000106003",0,-0.171337414,1.02530828,0.737428335,0.396304082,-0.59062649,0.120920936,-0.06543374,1.766175936,0.908055385,0.781035677,1.007598706,2.395736078
"41","LTBP2","ENSG00000119681",0,-0.165612717,0.116576019,1.76329021,1.851315021,1.467662761,0.648711318,0.124619092,0.0765294,2.104868018,2.759276779,3.75396289,4.022057596
"42","LTBP3","ENSG00000168056",0,-0.075438094,-0.002717736,0.830327302,0.844227544,1.00879959,0.802125825,-0.103389195,-0.053541455,1.075780638,1.320537269,2.085322782,2.094280747
"43","LYAR","ENSG00000145220",0,-0.043251421,-0.047574249,-0.351059806,-0.49710291,-0.640345786,-0.791137591,-0.037993977,-0.028742499,-0.33409552,-0.75990506,-1.352281782,-2.103395613
"44","LYPD3","ENSG00000124466",0,0.024816868,0.263237729,0.674561134,0.39232291,0.417853154,0.972385052,0.280898024,0.627619039,1.070947274,1.382772533,2.082364308,2.779262725
"45","MCF2","ENSG00000101977",0,0.076150806,0.448766214,1.063591004,1.136693691,0.926163476,0.088319115,0.276378985,0.701553743,1.254014662,2.046934434,2.956713956,2.625921406
"46","MCM2","ENSG00000073111",0,0.053554545,0.031721614,-0.220171844,-0.557198905,-1.115347578,-0.954962475,-0.02214797,-0.025980515,-0.358005516,-0.72027925,-1.93794472,-2.190723449
"47","MCM3","ENSG00000112118",0,-0.003465383,-0.037856437,-0.26344174,-0.505194409,-1.270067091,-0.943028536,-0.059170035,-0.126397042,-0.206628066,-0.600517637,-1.848496543,-2.101489967
"48","MCM6","ENSG00000076003",0,0.09376715,0.023853501,-0.241791163,-0.511419575,-1.212476142,-0.915826312,0.031680594,-0.019416683,-0.138421296,-0.550499268,-1.863555315,-2.069069576
"49","MICAL1","ENSG00000135596",0,-0.080068972,-0.035604614,0.345106041,0.805571704,0.896336351,0.628601493,-0.003871043,-0.294492508,0.220158149,0.942482107,1.838222234,2.370646611
"50","MICALL2","ENSG00000164877",0,-0.10525887,0.154782871,0.873214927,0.266169,-0.032142213,0.586846252,-0.075184849,0.031891315,0.567178763,0.677351925,0.96931,2.183362278
"51","NUDT15","ENSG00000136159",0,0.022515841,-0.133429774,-0.454483204,-0.327189361,-0.502002851,-0.738658604,-0.016201216,0.051147532,-0.363154654,-0.668283795,-1.201738862,-2.009642916
"52","NUP210","ENSG00000132182",0,-0.031679706,0.00991487,0.121659731,-0.301119752,-0.612133934,-0.673106534,-0.094853814,-0.211162872,-0.175707192,-0.319708397,-0.929349587,-2.110802534
"53","PBXIP1","ENSG00000163346",0,0.214567392,0.272882198,0.621555053,0.858158043,0.799942214,0.935878753,0.017589335,-0.022343239,0.446880323,1.167878931,1.563627858,2.551032958
"54","PDLIM7","ENSG00000196923",0,-0.091550677,0.462448764,1.492663203,1.445269028,1.185800903,0.196226969,-0.208906282,0.630130654,1.356229305,1.903692608,2.533883026,2.694135562
