geneID,45_highdata,90_highdata,180_highdata,360_highdata,720_highdata,1440_highdata,45_lowdata,90_lowdata,180_lowdata,360_lowdata,720_lowdata,1440_lowdata,estm,pred
HMCES,0.548119814,0.653215652,0.686703688,0.912874848,0.9591362,1.047660145,0.700451592,0.677077324,0.816506376,0.934992774,0.908211757,0.975218224,inhibition,1
HMGN2,0.501429446,0.746483026,0.9762629,1.003519956,1.004297109,1.050614349,0.683522388,0.835314961,1.03156257,1.052885754,0.988644611,1.120987631,inhibition,1
HMGN5,0.215861883,0.574784278,0.747142049,0.864464782,0.906068354,0.917244844,0.45306711,0.687270631,0.776486482,0.715534438,0.814396471,0.97877196,inhibition,1
HMOX2,0.512645271,0.576391504,0.687675947,0.833360191,0.959639618,0.979877295,0.653941167,0.713815513,0.805937999,0.842415553,0.990209471,0.955713665,inhibition,1
HN1,0.609675162,0.688143424,0.75019684,0.924185572,0.991566692,1.016111158,0.658424735,0.629847972,0.845481352,0.952547026,0.865496828,0.94479988,inhibition,1
HNRNPA1,0.63373521,0.724640723,0.802001809,0.907349987,1.014229305,1.054901597,0.790317632,0.809381184,0.848022467,0.866974725,0.983007347,1.102549602,inhibition,1
HNRNPA2B1,0.663111861,0.85085787,0.888169089,0.925417783,0.939455114,0.959359249,0.761747408,0.840751861,0.871924765,0.88207354,0.961520007,1.024667317,inhibition,1
HNRNPAB,0.393040982,0.488845517,0.684288425,0.923446427,1.038553144,1.051379756,0.56409736,0.61136376,0.738012523,0.894595338,1.011040876,1.031629444,inhibition,1
HNRNPC,0.620687413,0.64663859,0.719075854,0.897988796,0.974015056,0.974895837,0.737494952,0.873007087,0.747094715,0.805956073,1.000916605,0.943454411,inhibition,1
HNRNPD,0.640791306,0.735470656,0.763616131,0.885230808,1.01445877,1.057393377,0.787860282,0.802638992,0.796319738,0.786785225,0.997974482,1.106404408,inhibition,1
HNRNPF,0.466582989,0.511795908,0.600526898,0.786672798,0.970546388,1.011947937,0.620036741,0.761290505,0.708381042,0.75488088,0.96455023,1.023959309,inhibition,1
HNRNPH2,0.609907301,0.75737791,0.80080104,0.928797617,0.9749926,1.0124175,0.668420349,0.692826491,0.870071323,0.793219457,0.911572578,1.034494331,inhibition,1
HNRNPL,0.596236308,0.604410603,0.791552116,0.861907131,0.977302605,1.102545273,0.646029719,0.67801292,0.810084895,0.875862731,0.978785963,1.148857919,inhibition,1
HNRNPM,0.597215451,0.675626113,0.759419786,0.908117525,0.928721459,0.934902074,0.561081982,0.674333178,0.729228553,0.846996846,0.947301693,0.995751668,inhibition,1
HNRNPR,0.465253241,0.632030141,0.788481922,0.871505553,0.929905323,0.966460253,0.575757719,0.692878232,0.811879759,0.782189642,0.895309175,0.977453039,inhibition,1
HNRNPU,0.654257063,0.744121379,0.798677872,0.891136462,0.95432551,0.97195846,0.870543611,0.864444923,0.808235714,0.815660569,0.996708494,0.961665385,inhibition,1
