,geneID,45_highdata,90_highdata,180_highdata,360_highdata,720_highdata,1440_highdata,45_lowdata,90_lowdata,180_lowdata,360_lowdata,720_lowdata,1440_lowdata,estm,pred
1171,NDUFA6,0.662640087,0.684914262,0.887467243,0.971433807,0.986648855,1.017950307,0.842701037,0.808824231,0.901993862,1.024690674,1.085043828,0.953992695,inhibition,1
1172,NDUFA8,0.503646074,0.512934949,0.755520386,0.963084432,0.964276945,0.965611264,0.801295693,0.729869623,0.90593357,0.871750607,1.003362288,0.916552097,inhibition,1
1173,NDUFAB1,0.439469001,0.617984775,0.842617621,0.945527171,0.959802293,1.004871036,0.667780954,0.767346794,0.874977808,0.987778981,0.956691294,0.929621853,inhibition,1
1174,NDUFAF2,0.41393611,0.580499593,0.777493368,0.973714779,1.076654036,1.083736114,0.766232599,0.801310219,0.914352218,0.964574157,1.036095738,1.101815894,inhibition,1
1175,NDUFAF3,0.630006393,0.707339764,0.876692283,0.979216443,1.014282764,1.119941629,0.77814169,0.754993156,0.901364477,1.016431595,1.005847835,1.107617891,inhibition,1
1176,NDUFAF4,0.523197128,0.575849117,0.88946034,0.956091793,1.06161976,1.15772951,0.992940514,0.951461589,0.939827108,0.988660016,1.043799545,1.079543124,inhibition,1
1177,NDUFB1,0.636511872,0.676000254,0.864484491,0.934584977,0.972970925,1.000531031,0.744931484,0.85682648,0.894384509,0.947251482,1.041596499,0.955466277,inhibition,1
1178,NDUFB10,0.570542205,0.592163547,0.803973202,0.991650272,1.025960328,1.063726437,0.795634822,0.744755065,0.949729157,1.08086542,0.941705289,0.986351995,inhibition,1
1179,NDUFB2,0.67162061,0.693593664,0.845419937,0.938318178,0.97643187,0.986110441,0.819163606,0.851474645,0.969067644,0.897445191,1.005404406,1.046489703,inhibition,1
1180,NDUFB3,0.540495742,0.632756709,0.892749034,1.016349294,1.024990963,1.071353862,0.690926871,0.712697388,0.956123418,0.978504109,0.975482852,0.991707421,inhibition,1
1181,NDUFB5,0.609602454,0.737261982,0.858300616,0.945473329,0.953778078,0.990890644,0.942445752,0.92730393,0.829813997,0.953007156,0.829124915,0.863816972,inhibition,1
1182,NDUFB6,0.610683356,0.742130734,0.927454382,0.971610216,1.009670016,1.078467333,0.819879894,0.863582849,1.026822039,1.064113482,0.960975271,1.00090128,inhibition,1
1183,NDUFB8,0.613084366,0.659410082,0.807495189,0.909538495,0.974774786,1.012279401,0.778299763,0.891963148,0.893157367,0.925983896,1.006084487,0.934937591,inhibition,1
1184,NDUFB9,0.621454907,0.778565412,0.889838642,0.921168283,0.937362432,0.97878465,0.797302632,0.795451512,0.884850811,0.991887812,0.981636718,1.079957111,inhibition,1
1185,NDUFC2,0.647863781,0.797968133,0.993200525,1.03887964,1.19771406,1.221883459,0.820570772,0.882559197,1.065500075,1.074201875,0.984737659,1.129532617,inhibition,1
1186,NDUFS3,0.612507086,0.657682536,0.837415838,0.969045095,0.99364696,1.005950998,0.817000881,0.784594319,0.888664383,0.96340806,1.017032555,1.054473545,inhibition,1
1187,NDUFS5,0.618905081,0.686806847,0.897957541,1.002361323,1.073247406,1.073706926,0.702169797,0.788610233,1.000405123,1.119107681,1.003766086,1.019673973,inhibition,1
1188,NDUFS6,0.605965751,0.710967567,0.764200842,0.956095179,1.002934496,1.010789142,0.749581128,0.810281408,0.873010086,0.968158825,1.046135813,0.960181674,inhibition,1
1189,NDUFS8,0.63976234,0.699029971,0.869873682,0.894578111,0.938480592,0.980109777,0.789961007,0.913438979,1.054451072,0.920966625,1.041595911,1.223821902,inhibition,1
1190,NEDD1,0.610027495,0.785037836,0.954199461,0.970395648,0.97449986,0.996556102,0.69321706,0.820198958,1.076148909,0.971518298,0.834866754,0.87154651,inhibition,1
1191,NEDD8,0.629726721,0.672914058,0.826450125,0.968087618,1.007034383,1.01219695,0.670993911,0.686980635,0.86037325,0.925000709,0.938068579,0.96761604,inhibition,1
1192,NEIL2,0.471372096,0.585888697,0.662835615,0.702164946,0.898435484,0.922302136,0.893535952,0.764893005,0.733526532,0.719676969,0.848956731,0.868003467,inhibition,1
1193,NEK6,0.736018702,0.850920787,0.901091472,0.945577622,0.996592218,1.084548098,0.691021733,0.984176505,1.001651047,0.871953167,0.961855222,1.079531848,inhibition,1
1194,NEK7,0.421236734,0.505030363,0.737230954,0.838140868,0.850557939,1.124012713,0.60476807,0.543113397,0.705905206,0.681916326,0.754581546,1.121354355,inhibition,1
1195,NEU3,0.560823457,0.723907398,0.783608984,0.852400186,0.86622637,0.873728586,0.881950479,0.934360574,0.909420683,0.903522046,0.891823063,0.914619291,inhibition,1
1196,NF2,0.554697219,0.687297994,0.866822253,0.949167788,0.965252449,0.980680053,0.660824603,0.71288282,0.91414392,0.930293036,0.956147441,0.919572841,inhibition,1
1197,NFATC3,0.630253625,0.640659059,0.710248597,0.877148038,0.886157758,1.008330909,0.691770067,0.785283148,0.77175571,0.786134203,0.804322171,0.94640252,inhibition,1
1198,NFE2L3,0.450327653,0.517784146,0.697438343,0.799285304,0.860644086,0.940347052,0.446678323,0.729731927,0.696727384,0.870393153,0.841358707,1.017923427,inhibition,1
1199,NFIA,0.661715991,0.746123276,0.808198776,0.860020914,1.175790728,1.186881666,0.972781776,1.029326648,0.84125448,0.788454505,0.942445782,1.206243304,inhibition,1
1200,NFIX,0.552410367,0.560287903,0.698518618,0.820471561,0.900249414,0.957785719,0.818591238,0.706390238,0.783578959,0.7753859,0.880271009,0.89648898,inhibition,1
1201,NFKBIB,0.655831922,0.774755115,0.813826768,0.849322548,0.860911277,0.965160046,0.640485586,0.785116575,1.110714384,1.092619549,0.757480583,1.02626116,inhibition,1
1202,NGDN,0.577047878,0.642434525,0.664325233,0.886422766,0.913933692,0.948543141,0.76140003,0.815390539,0.833952941,0.868267213,0.902076233,0.998638653,inhibition,1
1203,NHP2,0.574816009,0.580554835,0.745950169,0.871267733,0.965924625,1.009304285,0.803766638,0.874749133,0.951770076,1.042721691,1.017745835,1.014436852,inhibition,1
1204,NIF3L1,0.648188053,0.869669577,0.956175173,0.969194957,1.027551943,1.074933305,0.917151129,0.937182662,0.950725963,1.002107034,1.093219208,1.123905963,inhibition,1
1205,NIFK,0.571028207,0.651636708,0.714989611,0.841082233,0.947403488,0.965896112,0.801098004,0.933948796,0.802713567,0.773717931,0.906949735,0.917931194,inhibition,1
1206,NINJ1,0.654296345,0.76314318,0.804312697,0.871485462,0.939356047,1.032181442,0.915479194,1.000608416,1.242910418,1.138095342,0.792026166,1.01045698,inhibition,1
1207,NIP7,0.463328062,0.498728767,0.664943419,0.860024765,0.973273298,0.984690515,0.740979686,0.741616387,0.737975303,0.791322725,1.00610093,0.919871369,inhibition,1
1208,NIPA2,0.646294368,0.720498335,0.975426596,0.994887422,1.043744107,1.109086955,0.751870454,0.769972598,0.970825365,1.025043439,0.937516648,0.986172463,inhibition,1
1209,NIPAL1,0.626476413,0.82629703,0.909361406,0.992922947,1.146027542,1.332067237,0.938837819,0.90952865,0.839174856,0.908922319,1.117745824,1.216294614,inhibition,1
1210,NKIRAS1,0.427057858,0.567076782,0.732449865,0.793613587,0.851667641,0.860951102,0.609286008,0.653539869,0.752315442,0.788336154,0.775782962,0.833134665,inhibition,1
1211,NKRF,0.446969537,0.475903567,0.6410939,0.779207108,0.861768336,0.919614695,0.64596981,0.666106059,0.696866218,0.755203963,0.887224449,0.987705078,inhibition,1
1212,NLE1,0.630547375,0.685586345,0.72754325,0.778097546,0.939638368,1.034091618,0.910308466,0.945657216,0.90063802,0.923760645,1.06271892,1.046605931,inhibition,1
1213,NMD3,0.576487961,0.745448957,0.766636588,0.849722859,0.904144603,0.949716668,0.90733215,0.985642586,0.851427079,0.750035634,0.846970249,1.00525759,inhibition,1
1214,NME1,0.374615376,0.609374516,0.812774468,1.016002574,1.087514775,1.090554952,0.610364563,0.800953339,0.912298405,0.946171361,1.004386665,1.002243887,inhibition,1
1215,NOC2L,0.605401079,0.61916847,0.737084699,0.898297379,0.942333656,0.980562268,0.806757012,0.772308713,0.805099548,1.039162359,0.902185061,0.970705999,inhibition,1
1216,NOC3L,0.522668545,0.64478455,0.708636198,0.723794952,0.827273204,0.93229706,0.911406339,0.937054707,0.743234324,0.818672906,0.873784445,0.951388108,inhibition,1
1217,NOC4L,0.479667474,0.583370447,0.632270675,0.639921913,0.906242028,0.940889581,0.687273538,0.808237405,0.790168009,0.958249415,0.908336815,0.977600796,inhibition,1
1218,NOCT,0.530020418,0.650322155,0.692435356,0.881237389,1.026758598,1.148883615,0.670829466,0.695803402,0.706351463,0.72467078,0.896845416,0.982152941,inhibition,1
1219,NOL10,0.536452099,0.580268844,0.724816862,0.882545269,1.099356133,1.128387092,0.728154684,0.821633148,0.840319659,0.808955619,0.983288257,1.018220632,inhibition,1
1220,NOL11,0.433592577,0.471870363,0.662594698,0.773800949,0.866996543,0.918940047,0.671800748,0.646733697,0.707282462,0.741123204,0.838982786,0.900256867,inhibition,1
1221,NOL6,0.402975795,0.435696265,0.566127136,0.719436238,0.89528566,0.912701664,0.629942836,0.764597433,0.686703886,0.849306089,0.956637468,0.941746619,inhibition,1
1222,NOL7,0.58319905,0.780377965,0.845577923,0.868626947,0.981043662,1.017973839,0.809990182,0.882470764,0.909334853,0.913038779,0.973106589,0.936596734,inhibition,1
1223,NOL8,0.630536459,0.634096884,0.740016819,0.789659743,0.934532113,0.941670148,0.861606071,0.803347695,0.804722107,0.785101214,0.959599811,0.939406245,inhibition,1
1224,NOL9,0.453736195,0.600121867,0.634038476,0.829398387,0.874109592,0.954302262,0.694979652,0.684285367,0.719855426,0.691213827,0.907723186,0.972548969,inhibition,1
1225,NOLC1,0.290830422,0.31103128,0.537731287,0.782480219,0.938891321,0.981907619,0.597038096,0.530826146,0.630989724,0.726408474,0.915040043,1.024202267,inhibition,1
1226,NOM1,0.636952941,0.664727967,0.847591739,0.870566269,1.074778181,1.089034069,0.939672154,0.859337959,0.876757673,0.9285877,1.103445899,1.081270809,inhibition,1
1227,NOP10,0.636542014,0.656452799,0.792283957,0.948752252,0.985985092,0.992192633,0.699702895,0.747150046,0.931511592,0.971485492,0.994547195,1.070988876,inhibition,1
1228,NOP14,0.616319227,0.617761404,0.731707867,0.853702138,1.042655772,1.059437526,0.99775352,0.849563322,0.833959008,0.881114388,1.020349574,1.075043561,inhibition,1
1229,NOP16,0.427583598,0.494086146,0.566321879,0.777400486,0.957859694,1.03418917,0.680169061,0.789834397,0.746362624,0.903911895,1.026502047,1.017807976,inhibition,1
1230,NOP2,0.643888307,0.710474954,0.802408542,0.887311106,0.931014208,0.945249813,0.857195999,0.84545717,1.112988014,1.027386472,1.051239814,0.990200944,inhibition,1
1231,NOP56,0.468671476,0.485066948,0.636481366,0.798041655,0.949505024,0.98953442,0.720987898,0.689066431,0.757969556,0.89081964,1.030853548,1.049570405,inhibition,1
1232,NOP58,0.475129023,0.506418486,0.667153095,0.864479609,1.013436475,1.047918336,0.793324027,0.721302983,0.736533638,0.834884511,1.031742919,1.071998011,inhibition,1
1233,NPIPB4,0.601909482,0.786905435,0.791807493,0.794722934,0.879086603,0.884137457,0.773130667,0.887728171,0.818904382,0.715871867,0.879964473,0.91739878,inhibition,1
1234,NPIPB5,0.623393873,0.742592515,0.768454963,0.787383711,0.840417129,0.858555065,0.689378438,0.767483329,0.833076431,0.779377764,0.886339574,0.976111422,inhibition,1
1235,NPM1,0.435068092,0.58250791,0.717853327,0.911067676,1.002007018,1.011040004,0.678127126,0.737381839,0.795923098,0.823374256,0.961118888,0.992950165,inhibition,1
1236,NPM3,0.282032485,0.564021485,0.727788268,0.873989593,1.014456553,1.046355414,0.733422796,0.777038102,0.9046717,0.995371123,0.953188868,1.025140445,inhibition,1
