,geneID,45_highdata,90_highdata,180_highdata,360_highdata,720_highdata,1440_highdata,45_lowdata,90_lowdata,180_lowdata,360_lowdata,720_lowdata,1440_lowdata,estm,pred
389,KDELR3,1.166046084,1.222600044,1.311856555,1.543420007,1.564136376,1.63146107,1.132011109,1.278745504,1.298296808,1.448428277,0.981886712,1.061329194,activation,2
390,KDM3A,1.128016535,1.207178204,1.26469113,1.336570455,1.867009035,2.002620094,1.061662305,1.198795189,1.045922948,1.210672162,1.670070749,1.489824677,activation,2
391,KDM5B,1.011790257,1.012219875,1.203687001,1.401396721,1.895792844,1.918553863,1.011801574,0.985978614,1.060765917,1.231030755,1.547261142,1.237010975,activation,2
392,KHNYN,0.939600322,1.045638531,1.049204619,1.55360224,2.457531884,2.47262831,1.012761749,0.985934153,1.041836778,1.411194944,1.857838492,1.745360809,activation,2
393,KIAA0355,0.858836806,0.967519753,1.199140815,1.329329918,1.525738095,1.687645446,0.913754066,1.050209392,1.254569706,1.376553914,1.281924578,1.439364737,activation,2
394,KIAA0430,0.913878434,0.955866898,0.981261928,1.355113301,1.828115381,1.998522192,0.889548908,0.973431457,0.899515719,1.276647484,1.605476247,1.475005881,activation,2
395,KIAA0556,0.986350669,0.997941925,1.067003725,1.101375897,1.168504415,1.994762022,1.113788824,1.063396899,1.080474527,1.147191505,1.093271995,1.474052161,activation,2
396,KIAA1109,1.017981635,1.039568925,1.101275491,1.62743193,2.055719614,2.421902418,1.044000299,1.132770336,1.113604265,1.445207118,1.637464197,1.747230127,activation,2
397,KIAA1147,0.945859407,0.996500278,1.637646799,1.765689392,2.350030671,2.939979738,1.017924886,0.979720747,1.401297777,1.406450306,1.269197065,1.417905702,activation,2
398,KIAA1161,1.010244762,1.20906333,1.439255278,1.472209337,1.580784569,1.739408821,1.010203666,1.199821228,0.895980999,0.804274911,1.549761537,1.343843134,activation,2
399,KIAA1551,1.019541373,1.154671859,1.249300395,1.271400366,1.406912984,1.643258196,1.054514695,1.237796344,1.390464715,1.267338791,1.410503707,1.430782919,activation,2
400,KIAA1841,1.005412056,1.013710615,1.449983693,1.451338208,1.928418614,2.731724285,0.818800948,0.929685594,1.161433922,1.22209482,1.087309347,1.078755504,activation,2
401,KIAA2026,1.016396987,1.109326788,1.157602992,1.405421022,1.515185353,1.737772159,1.013452355,1.086696055,1.126003499,1.221148172,1.314474633,1.498776635,activation,2
402,KIDINS220,0.992492331,1.03999081,1.057370893,1.322908012,1.639774216,1.686673198,0.971415412,1.090527388,1.017202415,1.130259631,1.225400657,1.472376947,activation,2
403,KIF13B,1.079428885,1.086177834,1.758245336,1.828613261,2.01429043,2.22351516,0.997852286,1.096495036,1.250493997,1.254032853,1.232226358,1.213383695,activation,2
404,KIRREL,0.909914613,1.044778114,1.168012213,1.440726515,1.525655813,1.853204301,0.967568483,1.069835466,1.230676967,1.297953143,0.909324769,1.380221186,activation,2
405,KIZ,0.875483743,1.061927167,1.155889465,1.16252632,1.386808521,1.464899478,1.112233349,1.020452378,1.18228889,1.117282683,1.650320058,1.339684784,activation,2
406,KLC1,1.094787079,1.346004937,1.476458523,1.79822288,2.38914022,2.652756849,1.074471224,1.412694146,1.532598366,1.520492161,1.679585801,1.609021669,activation,2
407,KLC4,0.91547823,1.111576026,1.475507551,1.958907017,2.911337316,3.685814267,1.069203867,1.178892101,1.746254513,1.638901169,2.164433017,2.115817662,activation,2
408,KLHDC2,1.048632429,1.105385156,1.163626567,1.174662931,1.224960221,1.591524231,1.05294352,1.108403749,1.258822267,1.121397183,1.102077281,1.347885185,activation,2
