,geneID,ctrl,45_lowdata,90_lowdata,180_lowdata,360_lowdata,720_lowdata,1440_lowdata,ctrl,45_highdata,90_highdata,180_highdata,360_highdata,720_highdata,1440_highdata,estm,pred
117,BCOR,0,0.826615425,0.874731707,0.953192327,1.086105343,0.950392896,1.177163562,0,0.765883959,0.851901593,1.171531382,1.216394468,1.230691848,1.81149674,rejected,0
118,BDKRB1,0,0.70440616,0.792374801,0.735360843,0.79977979,0.928919127,0.938065175,0,0.358318027,0.496562289,0.512311941,0.640689096,0.87012113,0.906085452,rejected,0
119,BDKRB2,0,0.875601784,0.644459269,0.897538259,0.699021022,0.86084506,0.790001543,0,0.349349211,0.432952364,0.619572045,0.651940402,0.737006963,0.745495325,rejected,0
120,BICDL1,0,0.953535239,1.171354667,1.735002038,1.209482347,0.959449234,1.760886868,0,0.661644839,0.880233621,0.885048202,0.933616105,0.989518385,1.082429825,rejected,0
121,BIRC3,0,0.564603612,1.012505416,0.805931842,0.956207054,1.702241897,1.334608365,0,0.305463622,0.481319264,0.573005709,0.826463121,0.839101835,0.919111627,rejected,0
122,BLM,0,0.568634643,0.774490784,0.997414933,0.935312094,0.959836704,1.114752708,0,0.312866449,0.709947946,0.861634423,0.94206292,0.975638493,1.1114768,rejected,0
123,BLOC1S3,0,0.64580802,0.895621329,1.153338226,1.159860511,1.538538692,1.417414756,0,0.998044007,1.035717177,1.216875185,1.406780599,1.903488821,2.043776959,rejected,0
124,BLVRB,0,1.059756444,1.097324743,1.087238033,0.96731135,1.597503083,2.527584025,0,0.814127625,0.814900302,0.825288832,1.03391859,1.369380628,2.45749962,rejected,0
125,BNIP1,0,0.787184014,1.250505826,1.090013067,1.068304177,1.046614832,1.059537252,0,0.52279211,0.939151748,0.963576465,1.039872697,1.04369415,1.141733589,rejected,0
126,BNIP3,0,1.078778578,1.301420304,0.83017269,0.915361765,0.85068439,1.628470965,0,0.842018627,0.874980324,0.918042469,0.956826779,0.962694425,1.159499245,rejected,0
127,BNIP3L,0,0.824236504,0.878789261,1.285351445,0.977136496,3.304697353,3.200924731,0,0.911039479,1.089183671,1.15149739,1.182099902,2.896362508,3.100243525,rejected,0
128,BORA,0,0.612231006,0.914113271,0.945521338,1.159494487,1.141716851,1.105574412,0,0.532846329,0.859432602,0.885900644,1.081541034,1.120855237,1.191934272,rejected,0
129,BPGM,0,0.881280346,0.83901093,1.121731843,0.996150565,0.848863676,0.789974099,0,0.938024435,1.061720208,1.309042135,1.389139045,1.621223351,1.819892137,rejected,0
130,BRCA2,0,0.653155362,0.932866511,0.997775585,1.083846072,1.273355177,1.383581148,0,0.339386429,0.912638261,0.942289793,0.979858046,1.274727935,1.521538557,rejected,0
131,BRE,0,1.119523771,0.852959608,1.691165529,1.361963972,1.019395218,1.027693919,0,0.934202933,0.94397142,1.024622119,1.114569933,1.115945851,1.125919753,rejected,0
132,BRMS1,0,0.638862434,0.797547853,0.828178445,1.061218103,0.911914696,1.057910762,0,0.513262958,0.682379612,0.74367978,0.896768249,0.980510206,1.044799348,rejected,0
133,BTBD19,0,0.964952333,0.701634093,1.357101275,1.690619068,1.539175812,1.89274089,0,0.866826391,1.311261643,1.357848861,1.686066306,2.266598689,2.296466214,rejected,0
134,BTBD2,0,1.025596466,0.84572656,0.982735841,0.803945925,1.155823215,1.756466814,0,0.619787528,0.803089674,0.811937242,0.885698838,0.953497157,1.569298037,rejected,0
